,Age,GS
525,28,22
526,28,46
527,26,51
528,23,61
529,24,22
530,28,2
531,29,0
532,25,18
533,35,0
534,21,32
535,26,26
536,Age,GS
537,21,10
538,34,16
539,26,0
540,30,7
541,25,0
542,28,10
543,28,7
544,28,3
545,24,25
546,24,24
547,24,1
548,26,9
549,26,0
550,26,0
551,26,9
552,24,32
553,26,58
554,26,40
555,26,18
556,27,21
557,20,38
558,24,2
559,26,14
560,26,0
561,26,14
562,29,51
563,29,6
564,29,45
565,28,31
566,29,35
567,29,28
568,29,7
569,23,0
570,23,0
571,23,0
572,23,22
573,27,9
574,Age,GS
575,30,35
576,21,1
577,24,25
578,29,0
579,23,0
580,21,2
581,32,15
582,32,14
583,32,1
584,28,36
585,22,49
586,25,13
587,26,72
588,29,4
589,29,1
590,28,18
591,37,18
592,25,1
593,25,1
594,25,0
595,26,37
596,26,13
597,26,24
598,26,0
599,28,0
600,23,23
601,Age,GS
602,28,63
603,24,77
604,23,15
605,27,0
606,27,0
607,27,0
608,29,11
609,29,0
610,29,11
611,29,63
612,32,0
613,35,2
614,26,57
615,27,0
616,32,12
617,22,80
618,32,26
619,28,29
620,30,1
621,19,0
622,24,74
623,33,62
624,23,23
625,23,3
626,23,20
627,27,13
628,Age,GS
629,24,58
630,24,79
631,32,0
632,21,1
633,30,21
634,24,0
635,24,1
636,28,0
637,34,66
638,26,67
639,25,32
640,23,0
641,19,82
642,24,0
643,30,55
644,23,6
645,25,0
646,25,0
647,25,0
648,28,0
649,28,37
650,32,33
651,32,19
652,32,14
653,Age,GS
654,28,0
655,28,22
656,28,22
657,28,0
658,24,0
659,23,0
660,23,0
661,23,0
662,27,7
663,27,0
664,27,0
665,27,7
666,29,2
667,21,15
668,19,0
669,29,0
670,26,68
671,26,48
672,26,20
673,22,45
674,25,59
